Anc	Der	PanelFreqA	PanelFreqB	Num
0	25	1.0	0.45	1
0	25	1.0	0.5	1
0	25	1.0	0.55	5
0	25	1.0	0.6	9
0	25	1.0	0.65	5
0	25	1.0	0.7	8
0	25	1.0	0.75	21
0	25	1.0	0.8	21
0	25	1.0	0.85	32
0	25	1.0	0.9	28
0	25	1.0	0.95	35
0	26	0.15	0.6	1
0	26	0.45	0.35	1
0	26	0.45	0.6	1
0	26	0.45	0.65	1
0	26	0.45	0.75	1
0	26	0.5	0.25	1
0	26	0.5	0.3	1
0	26	0.5	0.6	1
0	26	0.5	0.65	1
0	26	0.55	0.5	1
0	26	0.55	0.55	1
0	26	0.55	0.65	1
0	26	0.55	0.7	3
0	26	0.55	0.95	1
0	26	0.55	1.0	1
0	26	0.6	0.1	1
0	26	0.6	0.6	1
0	26	0.6	0.65	1
0	26	0.6	0.75	1
0	26	0.6	0.85	1
0	26	0.6	0.9	1
0	26	0.6	1.0	1
0	26	0.65	0.4	1
0	26	0.65	0.5	2
0	26	0.65	0.6	2
0	26	0.65	0.85	1
0	26	0.65	0.9	1
0	26	0.65	1.0	1
0	26	0.7	0.15	1
0	26	0.7	0.3	1
0	26	0.7	0.35	2
0	26	0.7	0.4	1
0	26	0.7	0.55	1
0	26	0.7	0.6	1
0	26	0.7	0.65	3
0	26	0.7	0.7	1
0	26	0.7	0.75	2
0	26	0.7	0.85	2
0	26	0.75	0.4	1
0	26	0.75	0.45	1
0	26	0.75	0.5	3
0	26	0.75	0.6	2
0	26	0.75	0.65	1
0	26	0.75	0.75	1
0	26	0.75	0.8	1
0	26	0.75	0.9	4
0	26	0.75	0.95	3
0	26	0.75	1.0	8
0	26	0.8	0.15	1
0	26	0.8	0.2	3
0	26	0.8	0.45	1
0	26	0.8	0.55	2
0	26	0.8	0.6	1
0	26	0.8	0.65	3
0	26	0.8	0.7	4
0	26	0.8	0.75	3
0	26	0.8	0.8	3
0	26	0.8	0.85	2
0	26	0.8	0.9	3
0	26	0.8	0.95	4
0	26	0.8	1.0	9
0	26	0.85	0.2	1
0	26	0.85	0.3	1
0	26	0.85	0.35	1
0	26	0.85	0.5	4
0	26	0.85	0.55	3
0	26	0.85	0.6	3
0	26	0.85	0.65	4
0	26	0.85	0.75	4
0	26	0.85	0.8	9
0	26	0.85	0.85	7
0	26	0.85	0.9	5
0	26	0.85	0.95	6
0	26	0.85	1.0	6
0	26	0.9	0.3	3
0	26	0.9	0.35	2
0	26	0.9	0.45	1
0	26	0.9	0.5	2
0	26	0.9	0.55	1
0	26	0.9	0.6	3
0	26	0.9	0.65	3
0	26	0.9	0.7	5
0	26	0.9	0.75	2
0	26	0.9	0.8	5
0	26	0.9	0.85	1
0	26	0.9	0.9	4
0	26	0.9	0.95	8
0	26	0.9	1.0	11
0	26	0.95	0.15	1
0	26	0.95	0.25	1
0	26	0.95	0.3	1
0	26	0.95	0.35	2
0	26	0.95	0.45	1
0	26	0.95	0.5	3
0	26	0.95	0.55	4
0	26	0.95	0.6	6
0	26	0.95	0.65	4
0	26	0.95	0.7	7
0	26	0.95	0.75	5
0	26	0.95	0.8	11
0	26	0.95	0.85	10
0	26	0.95	0.9	6
0	26	0.95	0.95	6
0	26	0.95	1.0	31
0	26	1.0	0.2	1
0	26	1.0	0.3	1
0	26	1.0	0.35	1
0	26	1.0	0.4	1
0	26	1.0	0.45	3
0	26	1.0	0.5	7
0	26	1.0	0.55	3
0	26	1.0	0.6	9
0	26	1.0	0.65	11
0	26	1.0	0.7	11
0	26	1.0	0.75	18
0	26	1.0	0.8	16
0	26	1.0	0.85	25
0	26	1.0	0.9	28
0	26	1.0	0.95	31
0	27	0.1	0.4	1
0	27	0.35	0.05	1
0	27	0.35	0.15	1
0	27	0.35	0.55	1
0	27	0.35	0.75	1
0	27	0.35	0.9	1
0	27	0.4	0.4	1
0	27	0.4	0.65	1
0	27	0.45	0.1	1
0	27	0.45	0.65	2
0	27	0.45	0.95	1
0	27	0.5	0.4	2
0	27	0.5	0.5	2
0	27	0.5	0.7	1
0	27	0.5	0.75	1
0	27	0.5	0.95	1
0	27	0.55	0.5	1
0	27	0.55	0.65	1
0	27	0.6	0.25	1
0	27	0.6	0.35	1
0	27	0.6	0.55	1
0	27	0.6	0.6	2
0	27	0.6	0.7	1
0	27	0.6	0.75	1
0	27	0.6	0.8	1
0	27	0.6	0.95	1
0	27	0.65	0.05	1
0	27	0.65	0.4	1
0	27	0.65	0.45	1
0	27	0.65	0.5	1
0	27	0.65	0.6	1
0	27	0.65	0.85	2
0	27	0.65	0.95	2
0	27	0.65	1.0	2
0	27	0.7	0.1	1
0	27	0.7	0.25	1
0	27	0.7	0.3	2
0	27	0.7	0.35	1
0	27	0.7	0.4	1
0	27	0.7	0.55	1
0	27	0.7	0.6	1
0	27	0.7	0.7	1
0	27	0.7	0.75	1
0	27	0.7	0.8	1
0	27	0.7	0.9	2
0	27	0.7	1.0	1
0	27	0.75	0.15	1
0	27	0.75	0.25	2
0	27	0.75	0.4	3
0	27	0.75	0.45	2
0	27	0.75	0.55	1
0	27	0.75	0.65	1
0	27	0.75	0.7	2
0	27	0.75	0.75	1
0	27	0.75	0.8	1
0	27	0.75	0.85	1
0	27	0.75	0.9	1
0	27	0.75	0.95	3
0	27	0.75	1.0	5
0	27	0.8	0.05	1
0	27	0.8	0.1	1
0	27	0.8	0.35	1
0	27	0.8	0.4	1
0	27	0.8	0.45	3
0	27	0.8	0.5	4
0	27	0.8	0.55	1
0	27	0.8	0.6	3
0	27	0.8	0.65	1
0	27	0.8	0.7	4
0	27	0.8	0.8	2
0	27	0.8	0.9	4
0	27	0.8	0.95	3
0	27	0.8	1.0	1
0	27	0.85	0.25	1
0	27	0.85	0.3	1
0	27	0.85	0.35	1
0	27	0.85	0.4	2
0	27	0.85	0.5	4
0	27	0.85	0.55	4
0	27	0.85	0.6	1
0	27	0.85	0.65	5
0	27	0.85	0.7	4
0	27	0.85	0.75	4
0	27	0.85	0.8	6
0	27	0.85	0.85	3
0	27	0.85	0.9	6
0	27	0.85	0.95	2
0	27	0.85	1.0	9
0	27	0.9	0.15	1
0	27	0.9	0.2	1
0	27	0.9	0.25	1
0	27	0.9	0.35	2
0	27	0.9	0.5	5
0	27	0.9	0.55	3
0	27	0.9	0.65	3
0	27	0.9	0.7	5
0	27	0.9	0.75	7
0	27	0.9	0.8	7
0	27	0.9	0.85	8
